,chembl_ids,IC50s,SMILES
10,CHEMBL348961,0.014,Cc1cc2c(nn1)-c1cc(OCCCC(F)(F)F)ccc1C2=O
538,CHEMBL972,0.017,C#CCN(C)[C@H](C)Cc1ccccc1
4705,CHEMBL972,0.017,C#CCN(C)[C@H](C)Cc1ccccc1
4707,CHEMBL396778,0.023,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O
514,CHEMBL315361,0.048,O=C(O)c1coc2ccccc2c1=O
4706,CHEMBL887,0.05,C#CCN[C@@H]1CCc2ccccc21
5555,CHEMBL6146594,0.07,O=c1ccc2ccc(COc3ccccc3F)cc2o1
2737,CHEMBL4129303,0.134,Cc1ccc2oc(=O)c(-c3cccc(Br)c3)cc2c1
1607,CHEMBL3319268,0.227,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccc2[nH]ccc2c1
4240,CHEMBL1835228,0.308,Cc1ccc(-c2cc3cc(C)ccc3oc2=O)cc1
1497,CHEMBL1835228,0.3085,Cc1ccc(-c2cc3cc(C)ccc3oc2=O)cc1
730,CHEMBL1835228,0.31,Cc1ccc(-c2cc3cc(C)ccc3oc2=O)cc1
13,CHEMBL414637,0.318,O=C1CCc2cc(OCCCC(F)(F)F)ccc21
4013,CHEMBL4861804,0.35,C#CCNC1CCc2c(SCCc3cccc(C)c3)cccc21
4731,CHEMBL5407170,0.37,O=C1CCc2ccc(OCc3ccccc3F)cc2O1
4732,CHEMBL3359944,0.37,O=c1cc(CCCl)c2ccc(OCc3cccc(Cl)c3)cc2o1
2459,CHEMBL3319256,0.386,Cn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21
1617,CHEMBL3319256,0.386,Cn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21
3669,CHEMBL4206812,0.4,O=C(Nc1cccc(Cl)c1)c1coc2ccccc2c1=O
2595,CHEMBL4068321,0.5,O=c1ccc2ccc(OCc3ccc(Br)cc3)cc2o1
