SMILES,IC50
COc1cc(/C=C/C(=O)NCCc2c[nH]c3ccc(O)cc23)ccc1O,216000.0
O=C(NCCc1c[nH]c2ccc(O)cc12)c1ccc(O)cc1O,42000.0
CC(C)=CCc1c(O)cc2c(c1O)C(=O)CC(c1ccc(O)c(O)c1CC=C(C)C)O2,750.0
C=CC(C)(C)c1cc(C2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)c(O)cc1O,1000.0
O=C(/C=C/c1ccc(O)c(O)c1)NCCc1c[nH]c2ccc(O)cc12,28000.0
COc1ccc(/C=C/C(=O)NCCCNC(=O)/C=C/c2ccc(OC)c(O)c2)cc1O,46700.0
O=C(NCCc1c[nH]c2ccc(O)cc12)c1ccc(O)cc1,233000.0
Oc1cc(O)cc(OCc2ccc(F)cc2)c1,90000.0
Oc1cc(O)cc(OCc2cccc(Cl)c2)c1,54700.0
Oc1cc(O)cc(OCc2ccc(Cl)c(Cl)c2)c1,66400.0
OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,30260.0
COc1cc(C(=O)NCCc2c[nH]c3ccc(O)cc23)ccc1O,211000.0
O=C(NCCc1c[nH]c2ccc(O)cc12)c1ccccc1,333000.0
C/C(=C\Cc1c(O)ccc(C(=O)/C=C/c2ccc(O)cc2O)c1O)CO,4000.0
CCCC/C(=N\NC(N)=S)c1ccccc1,1200.0
O=C(/C=C/c1cccc(O)c1)NCCCNC(=O)/C=C/c1cccc(O)c1,40200.0
Oc1cc(O)cc(CCc2ccc(O)cc2O)c1,300.0
[O-][n+]1ccccc1O,19000.0
COc1ccc(/C=N/NC(N)=S)cc1,139000.0
NC(=S)Nc1ccccc1,1800.0
C=CC(C)(C)c1cc(C2CC(=O)c3c(cc(O)c(CC=C(C)C)c3O)O2)c(OC)cc1O,5000.0
C=CC(C)(C)c1cc(C2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)c(OC)cc1O,5000.0
O=c1c(-c2ccc(O)c(O)c2)coc2cc(O)ccc12,5230.0
Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,30.0
O=c1cc(CO)occ1O,61000.0
Oc1ccc2[nH]ccc2c1,68000.0
COc1cc(O)c(C(=O)/C=C/c2ccccc2)c(O)c1C,25000.0
CC(=O)NCCc1c[nH]c2ccc(O)cc12,311000.0
CC(C)=C/C=C1\O[C@@H]2CC(C)=CC(=O)[C@@H]2[C@]1(C)O,9000.0
O=C(NCCc1c[nH]c2ccc(O)cc12)c1ccc(O)c(O)c1,73000.0
Oc1cccc(/C=C/c2ccc(O)cc2O)c1,800.0
COc1cc(/C=C/C(=O)NCCCNC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,65200.0
O=C(/C=C/c1ccc(O)cc1)NCCCNC(=O)/C=C/c1ccc(O)cc1,4600.0
C/C(=N\N=C(/N)S)c1ccccc1,2000.0
O=c1c(-c2ccc(O)cc2)coc2c(O)c(O)ccc12,11210.0
Cl.NC(Cc1ccc(=O)n(O)c1)C(=O)O,10030.0
O=C(/C=C/c1ccc(O)cc1O)c1ccc(O)cc1O,5000.0
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,34.0
O=c1ccc(CO)cn1O,61250.0
NCCc1c[nH]c2ccc(O)cc12,550000.0
CC(C)=CCc1c(O)ccc(C(=O)/C=C/c2ccc(O)cc2O)c1O,3800.0
Oc1cc(O)cc(/C=C/c2ccc(O)cc2O)c1,1700.0
O=[N+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,89.0
COc1cc(/C=C/C(=O)NCCCCNC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,88400.0
NC(=S)N/N=C/c1ccccc1,10200.0
O=c1cc(/C=C/c2cc(=O)c(O)co2)occ1O,3630.0
CCCCCCCCn1cc(O)c(=O)cc1COC(=O)[C@@H](N)Cc1ccccc1,12600.0
C/C(=N/NC(N)=S)c1cnccn1,880.0
O=C1NC(=S)NC(=O)C1=Cc1cc(O)c(O)c(O)c1,7140.0
O=C1NC(=O)C(=Cc2ccc(O)cc2)C(=O)N1,13980.0
O=C1NC(=S)NC(=O)C1=Cc1ccc(O)c(O)c1O,95830.0
Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4cccc(Cl)c4)c3)ccc21,48130.0
Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccc(F)cc4)c3)ccc21,15060.0
Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)C4CC4)c3)ccc21,80230.0
Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccco4)c3)ccc21,60280.0
NC(=S)N/N=C/c1cccc(F)c1,9000.0
C/C(=N/NC(N)=S)c1ccc(C)cc1,270.0
COc1ccc(/C=C/C(=O)O)cc1,410000.0
O=C(Cc1ccc(O)cc1)c1ccc(O)cc1O,135910.0
CC(=O)OC[C@H]1O[C@@H](Oc2ccc(C=C3C(=O)NC(=O)NC3=O)cc2O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,130000.0
C[C@H](CCc1ccc(O)cc1O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2300.0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@@]21C,7890.0
